,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,Director,topBilled,TopBilled2nd,TopBilled3rd,primaryRegion,topBilledGender,secondTopBilledGender,thirdTopBilledGender,directorGender,Action,Adventure,Comedy,Drama,SciFi,Horror,Romance,Thriller,Mystery,Crime,Animation,Fantasy,Documentary,Musical,Sport,Adult,Western,Family,topBilled_Male,topBilled_Female,topBilled_Unknown,secondBilled_Male,secondBilled_Female,secondBilled_Unknown,thirdBilled_Male,thirdBilled_Female,thirdBilled_Unknown,director_Male,director_Female,director_Unknown,US_Region,bechdelScore
0,tt0000574,The Story of the Kelly Gang,1906,70,"Biography,Crime,Drama",6.3,431,Charles Tait,Elizabeth Tait,John Tait,Norman Campbell,HU,Female,Male,Male,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,tt0002101,Cleopatra,1912,100,"Drama,History",5.1,366,Charles L. Gaskill,Helen Gardner,Pearl Sindelar,Miss Fielding,\N,Female,Female,Unknown,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2
2,tt0003973,A Florida Enchantment,1914,63,Comedy,6.1,158,Sidney Drew,Sidney Drew,Edith Storey,Charles Kent,\N,Male,Female,Male,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2
3,tt0004972,The Birth of a Nation,1915,195,"Drama,History,War",6.7,18924,D.W. Griffith,Lillian Gish,Mae Marsh,Henry B. Walthall,DK,Female,Female,Male,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2
4,tt0006745,Gretchen the Greenhorn,1916,58,"Crime,Drama,Romance",6.5,456,,Dorothy Gish,Ralph Lewis,Eugene Pallette,US,Female,Male,Male,Unknown,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,3
5,tt0006864,Intolerance: Love's Struggle Throughout the Ages,1916,163,"Drama,History",8.0,11871,D.W. Griffith,Lillian Gish,Robert Harron,Mae Marsh,RU,Female,Male,Female,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
6,tt0007361,Snow White,1916,63,"Fantasy,Romance",6.2,304,J. Searle Dawley,Dorothy Cumming,Creighton Hale,Lionel Braham,RU,Female,Male,Male,Unknown,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,3
7,tt0008443,The Poor Little Rich Girl,1917,65,"Comedy,Drama,Family",6.8,1111,Maurice Tourneur,Mary Pickford,Madlaine Traverse,Charles Wellesley,SUHH,Female,Unknown,Male,Male,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,3
8,tt0008489,"Raffles, the Amateur Cracksman",1917,70,"Adventure,Crime,Romance",7.2,84,George Irving,John Barrymore,Christine Mayo,H. Cooper Cliffe,DK,Male,Female,Unknown,Male,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,2
9,tt0008499,Rebecca of Sunnybrook Farm,1917,78,"Comedy,Drama",7.0,689,Marshall Neilan,Mary Pickford,Eugene O'Brien,Helen Jerome Eddy,DK,Female,Male,Female,Male,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3
10,tt0008519,A Romance of the Redwoods,1917,70,"Adventure,Comedy,Drama",6.6,655,Cecil B. DeMille,Mary Pickford,Elliott Dexter,Tully Marshall,ES,Female,Male,Unknown,Male,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
11,tt0008652,A Tale of Two Cities,1917,70,"Drama,History,Romance",6.3,79,Frank Lloyd,William Farnum,Jewel Carmen,Charles Clary,PL,Male,Female,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3
12,tt0009652,Stella Maris,1918,84,Drama,7.4,1214,Marshall Neilan,Mary Pickford,Ida Waterman,Herbert Standing,FR,Female,Female,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,3
13,tt0009682,Tarzan of the Apes,1918,73,"Action,Adventure",5.9,543,Scott Sidney,Elmo Lincoln,Enid Markey,True Boardman,\N,Male,Female,Unknown,Male,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,3
14,tt0009968,Broken Blossoms,1919,90,"Drama,Romance",7.6,7909,D.W. Griffith,Lillian Gish,Richard Barthelmess,Donald Crisp,HU,Female,Male,Male,Unknown,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
15,tt0010281,I Don't Want to Be a Man,1918,45,"Comedy,Romance",7.1,957,Ernst Lubitsch,Ossi Oswalda,Curt Goetz,Ferry Sikla,FR,Male,Male,Male,Male,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,3
16,tt0010323,The Cabinet of Dr. Caligari,1920,76,"Fantasy,Horror,Mystery",8.1,45263,Robert Wiene,Werner Krauss,Conrad Veidt,Friedrich Feher,RS,Male,Male,Male,Male,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
17,tt0010879,When the Clouds Roll by,1919,85,"Action,Comedy,Romance",7.0,661,Victor Fleming,Douglas Fairbanks,Albert MacQuarrie,Kathleen Clifford,DK,Male,Male,Female,Male,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,3
18,tt0011588,Pollyanna,1920,58,"Comedy,Drama,Family",6.9,274,Paul Powell,Mary Pickford,Wharton James,Katherine Griffith,\N,Female,Unknown,Female,Male,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,3
19,tt0011870,Within Our Gates,1920,79,"Drama,Romance",6.4,1655,Oscar Micheaux,Evelyn Preer,Flo Clements,James D. Ruffin,RU,Female,Unknown,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,3
20,tt0011979,The Blot,1921,80,Drama,6.8,376,Lois Weber,Philip Hubbard,Margaret McWade,Claire Windsor,US,Male,Female,Female,Female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,3
21,tt0012349,The Kid,1921,68,"Comedy,Drama,Family",8.3,82232,Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,HU,Male,Female,Unknown,Male,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
22,tt0012364,The Phantom Carriage,1921,100,"Drama,Fantasy,Horror",8.1,7809,Victor Sjöström,Victor Sjöström,Hilda Borgström,Tore Svennberg,SE,Male,Female,Male,Male,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2
23,tt0012532,Orphans of the Storm,1921,150,"Drama,History,Romance",7.8,4099,D.W. Griffith,Lillian Gish,Dorothy Gish,Joseph Schildkraut,RU,Female,Female,Male,Unknown,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,3
24,tt0013086,Dr. Mabuse: The Gambler,1922,242,"Crime,Mystery,Thriller",7.9,5985,Fritz Lang,Rudolf Klein-Rogge,Aud Egede-Nissen,Gertrude Welcker,ES,Male,Female,Female,Male,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3
25,tt0013140,Foolish Wives,1922,117,"Drama,Thriller",7.3,2366,Erich von Stroheim,Rudolph Christians,Miss DuPont,Maude George,PT,Male,Unknown,Female,Male,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,3
26,tt0013257,Häxan,1922,91,"Documentary,Fantasy,Horror",7.7,9103,Benjamin Christensen,Benjamin Christensen,Elisabeth Christensen,Maren Pedersen,PL,Male,Female,Female,Male,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3
27,tt0013367,The Man from Beyond,1922,74,Mystery,5.5,170,Burton L. King,Harry Houdini,Arthur Maude,Albert Tavernier,DK,Male,Male,Male,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
28,tt0013427,Nanook of the North,1922,78,Documentary,7.7,8831,Robert J. Flaherty,Allakariallak,Nyla,Cunayou,SE,Unknown,Female,Unknown,Male,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
29,tt0013428,Nathan der Weise,1922,128,"Drama,History",7.1,89,Manfred Noa,Fritz Greiner,Carl de Vogt,Lia Eibenschütz,PL,Male,Male,Female,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2
30,tt0013442,Nosferatu,1922,94,"Fantasy,Horror",8.0,75324,F.W. Murnau,Max Schreck,Alexander Granach,Gustav von Wangenheim,ES,Male,Male,Male,Unknown,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2
31,tt0013496,Phantom,1922,125,"Drama,Fantasy,Romance",7.0,1235,F.W. Murnau,Alfred Abel,Frida Richard,Aud Egede-Nissen,IT,Male,Female,Female,Unknown,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2
